,boundries,counts,positives,success_rate
0,0.0,0.0,,
1,0.12244897959183673,106754.0,,0.0584989789609757
2,0.24489795918367346,139637.0,,0.12258212364917608
3,0.36734693877551017,81766.0,,0.14077978621921092
4,0.4897959183673469,45154.0,,0.15894494396952652
5,0.6122448979591837,26082.0,,0.17536998696418987
6,0.7346938775510203,16855.0,,0.19222782557104717
7,0.8571428571428571,10872.0,,0.20649374540103016
8,0.9795918367346939,7582.0,,0.21973094170403587
9,1.1020408163265305,5529.0,,0.21902694881533732
10,1.2244897959183674,4139.0,,0.215027784489007
11,1.346938775510204,3340.0,,0.2119760479041916
12,1.4693877551020407,2515.0,,0.205168986083499
13,1.5918367346938775,1948.0,,0.23613963039014374
14,1.7142857142857142,1502.0,,0.23635153129161118
15,1.836734693877551,1215.0,,0.23621399176954733
16,1.9591836734693877,952.0,,0.25315126050420167
17,2.0816326530612246,794.0,,0.2607052896725441
18,2.204081632653061,690.0,,0.24202898550724639
19,2.326530612244898,542.0,,0.25830258302583026
20,2.4489795918367347,445.0,,0.23820224719101124
21,2.571428571428571,385.0,,0.23896103896103896
22,2.693877551020408,366.0,,0.22950819672131148
23,2.816326530612245,295.0,,0.2440677966101695
24,2.9387755102040813,280.0,,0.24285714285714285
25,3.061224489795918,250.0,,0.204
26,3.183673469387755,237.0,,0.189873417721519
27,3.306122448979592,231.0,,0.2597402597402597
28,3.4285714285714284,217.0,,0.1382488479262673
29,3.5510204081632653,157.0,,0.2229299363057325
30,3.673469387755102,144.0,,0.1875
31,3.7959183673469385,136.0,,0.2426470588235294
32,3.9183673469387754,115.0,,0.20869565217391303
33,4.040816326530612,133.0,,0.18796992481203006
34,4.163265306122449,119.0,,0.21008403361344538
35,4.285714285714286,95.0,,0.2
36,4.408163265306122,78.0,,0.2692307692307692
37,4.530612244897959,75.0,,0.21333333333333335
38,4.653061224489796,76.0,,0.15789473684210525
39,4.775510204081632,76.0,,0.19736842105263158
40,4.8979591836734695,65.0,,0.2
41,5.020408163265306,59.0,,0.1864406779661017
42,5.142857142857142,55.0,,0.14545454545454545
43,5.26530612244898,56.0,,0.17857142857142858
44,5.387755102040816,46.0,,0.2608695652173913
45,5.5102040816326525,44.0,,0.25
46,5.63265306122449,47.0,,0.2127659574468085
47,5.755102040816326,39.0,,0.15384615384615385
48,5.877551020408163,29.0,,0.27586206896551724
49,6.0,40.0,,0.15
50,,1578.0,,0.14005069708491763
