,0
0,0
1,106754
2,139637
3,81766
4,45154
5,26082
6,16855
7,10872
8,7582
9,5529
10,4139
11,3340
12,2515
13,1948
14,1502
15,1215
16,952
17,794
18,690
19,542
20,445
21,385
22,366
23,295
24,280
25,250
26,237
27,231
28,217
29,157
30,144
31,136
32,115
33,133
34,119
35,95
36,78
37,75
38,76
39,76
40,65
41,59
42,55
43,56
44,46
45,44
46,47
47,39
48,29
49,40
50,1578
