,0
0,0.0
1,0.12244897959183673
2,0.24489795918367346
3,0.36734693877551017
4,0.4897959183673469
5,0.6122448979591837
6,0.7346938775510203
7,0.8571428571428571
8,0.9795918367346939
9,1.1020408163265305
10,1.2244897959183674
11,1.346938775510204
12,1.4693877551020407
13,1.5918367346938775
14,1.7142857142857142
15,1.836734693877551
16,1.9591836734693877
17,2.0816326530612246
18,2.204081632653061
19,2.326530612244898
20,2.4489795918367347
21,2.571428571428571
22,2.693877551020408
23,2.816326530612245
24,2.9387755102040813
25,3.061224489795918
26,3.183673469387755
27,3.306122448979592
28,3.4285714285714284
29,3.5510204081632653
30,3.673469387755102
31,3.7959183673469385
32,3.9183673469387754
33,4.040816326530612
34,4.163265306122449
35,4.285714285714286
36,4.408163265306122
37,4.530612244897959
38,4.653061224489796
39,4.775510204081632
40,4.8979591836734695
41,5.020408163265306
42,5.142857142857142
43,5.26530612244898
44,5.387755102040816
45,5.5102040816326525
46,5.63265306122449
47,5.755102040816326
48,5.877551020408163
49,6.0
