Date,Open,Low,High,Close,Volume,symbol
2020-08-03 09:31:00,15.4200,15.0000,15.4200,15.0000,1057,ISDR
2020-08-03 09:33:00,15.1002,15.1000,15.1002,15.1000,1949,ISDR
2020-08-03 09:35:00,15.4962,15.4700,15.4900,15.4700,2450,ISDR
2020-08-03 09:37:00,15.5000,15.5000,15.5000,15.5000,2797,ISDR
2020-08-03 09:38:00,15.2978,15.2978,15.2978,15.2978,3097,ISDR
2020-08-03 09:41:00,15.3902,15.3902,15.3902,15.3902,3668,ISDR
2020-08-03 09:54:00,15.2950,15.2950,15.2950,15.2950,3886,ISDR
2020-08-03 09:55:00,15.3900,15.2450,15.3500,15.3900,6656,ISDR
2020-08-03 09:58:00,15.1950,15.1950,15.1950,15.1950,6822,ISDR
2020-08-03 09:59:00,15.3000,15.1995,15.1995,15.2245,9738,ISDR
2020-08-03 10:04:00,15.3000,15.3000,15.3000,15.3000,11656,ISDR
2020-08-03 10:07:00,15.4898,15.3000,15.3000,15.4000,13839,ISDR
2020-08-03 10:10:00,15.2740,15.2740,15.2740,15.2740,14082,ISDR
2020-08-03 10:14:00,15.3650,15.3650,15.3650,15.3650,14284,ISDR
2020-08-03 10:25:00,15.3880,15.3880,15.3880,15.3880,14749,ISDR
2020-08-03 10:27:00,15.5000,15.4600,15.5000,15.4600,15891,ISDR
2020-08-03 10:28:00,15.5000,15.5000,15.5000,15.5000,16032,ISDR
2020-08-03 10:31:00,15.5000,15.5000,15.5000,15.5000,16391,ISDR
2020-08-03 10:33:00,15.5500,15.4709,15.5000,15.5500,19611,ISDR
2020-08-03 10:34:00,15.7500,15.5500,15.5500,15.7500,21291,ISDR
2020-08-03 10:36:00,15.7500,15.7500,15.7500,15.7500,21817,ISDR
2020-08-03 10:37:00,15.8500,15.6620,15.7400,15.6877,29921,ISDR
2020-08-03 10:38:00,15.6720,15.6720,15.6720,15.6720,30021,ISDR
2020-08-03 10:41:00,15.7800,15.7800,15.7800,15.7800,30272,ISDR
2020-08-03 10:43:00,15.9564,15.9564,15.9564,15.9564,32272,ISDR
2020-08-03 10:46:00,15.7750,15.7750,15.7750,15.7750,32504,ISDR
2020-08-03 10:50:00,16.0200,15.9500,15.9500,16.0200,33005,ISDR
2020-08-03 10:54:00,15.9463,15.9463,15.9463,15.9463,33305,ISDR
2020-08-03 10:55:00,15.9000,15.9000,15.9000,15.9000,34515,ISDR
2020-08-03 10:57:00,15.7600,15.7200,15.7200,15.7600,35615,ISDR
2020-08-03 10:58:00,15.7611,15.7611,15.7611,15.7611,35715,ISDR
2020-08-03 10:59:00,15.9500,15.9000,15.9500,15.9000,36215,ISDR
